,economy,Continent,Sub-region Name,CLDR display name,CC.EST.2022,CC.PER.RNK.2022,CC.PER.RNK.LOWER.2022,CC.PER.RNK.UPPER.2022,EG.CFT.ACCS.RU.ZS.2021,EG.CFT.ACCS.UR.ZS.2021,EG.CFT.ACCS.ZS.2021,EN.ATM.PM25.MC.M3.2019,ER.LND.PTLD.ZS.2022,ER.PTD.TOTL.ZS.2022,GE.EST.2022,GE.PER.RNK.2022,GE.PER.RNK.LOWER.2022,GE.PER.RNK.UPPER.2022,IQ.SPI.PIL1.2019,IT.NET.SECR.P6.2020
170,MKD,EU,Southern Europe,North Macedonia,-0.323431134223938,43.8679237365723,30.1886787414551,52.8301887512207,59.4,92.2,79.2,30.26931856,15.3937559,15.3937555751986,-0.0810714960098267,49.5283012390137,31.6037731170654,64.1509399414063,100.0,1022.90387936296
171,TLS,OC,South-eastern Asia,Timor-Leste,-0.265985161066055,46.698112487793,29.7169818878174,58.0188674926758,5.09999999999999,33.5,15.2,15.65130893,15.997529,5.18824097960241,-0.767780125141144,22.6415100097656,10.8490562438965,41.5094337463379,50.0,91.5388136108216
172,TGO,AF,Sub-Saharan Africa,Togo,-0.64967155456543,27.3584899902344,20.2830181121826,39.1509437561035,0.800000000000001,23.8,11.4,46.21037553,27.9759121,22.0703732799987,-0.64258873462677,28.301887512207,14.1509437561035,41.5094337463379,90.0,25.9399377915282
173,TON,OC,Polynesia,Tonga,-0.420627415180206,38.2075462341309,19.8113212585449,58.4905662536621,84.5,94.7,86.8,10.58622123,12.5886211,0.0727442804921326,-0.16647757589817,45.2830200195313,21.2264156341553,67.9245300292969,90.0,560.548767742794
174,TTO,NA,Latin America and the Caribbean,Trinidad & Tobago,-0.37968635559082,40.5660362243652,26.8867931365967,51.4150924682617,100.0,100.0,100.0,21.97072547,30.5928192,2.01441219950381,-0.0251202769577503,52.3584899902344,33.4905662536621,64.6226425170898,60.0,313.540124902266
175,TUN,AF,Northern Africa,Tunisia,-0.251350313425064,47.6415100097656,34.4339637756348,54.7169799804688,99.7,99.9,99.9,30.42981942,7.9146757,5.20860865302287,-0.299408107995987,41.5094337463379,27.3584899902344,57.0754699707031,90.0,319.198192558735
176,TUR,AS,Western Asia,Turkey,-0.467645317316055,34.9056587219238,24.5283012390137,48.113208770752,84.9,99.5,95.4,26.03180162,6.9518194,5.67226572455947,-0.19902965426445,43.8679237365723,29.7169818878174,60.3773574829102,100.0,6837.08326277681
177,TKM,AS,Central Asia,Turkmenistan,-1.43677389621735,5.66037750244141,0.471698105335236,14.6226415634155,99.9,99.9,99.9,26.19766251,3.2482622,3.2122375017179,-1.1583536863327,12.2641506195068,5.18867921829224,28.7735843658447,46.6,45.7567933639211
178,TUV,OC,Polynesia,Tuvalu,0.651753723621368,73.5849075317383,58.0188674926758,83.9622650146484,40.9,94.8,74.6,6.02840838,13.2406397,0.0299740661476594,-0.311674624681473,39.6226425170898,14.6226415634155,62.7358474731445,10.0,271.027193061704
179,UGA,AF,Sub-Saharan Africa,Uganda,-1.04179608821869,16.5094337463379,7.07547187805176,23.1132068634033,0.3,1.5,0.700000000000001,35.21822646,16.0618458,16.0618448705928,-0.583969175815582,31.1320762634277,15.5660381317139,43.3962249755859,100.0,35.4242490717912
180,UKR,EU,Eastern Europe,Ukraine,-0.633566200733185,29.2452831268311,20.2830181121826,40.5660362243652,88.1,99.1,95.2,14.53144476,12.9621906,12.2779180883833,-0.496294170618057,33.0188674926758,15.5660381317139,50.4716987609863,100.0,8952.49617800433
181,ARE,AS,Western Asia,United Arab Emirates,1.15533649921417,83.4905624389648,79.7169799804688,89.1509399414063,100.0,100.0,100.0,43.66702552,19.351305,15.9236658269911,1.29996228218079,88.6792449951172,77.3584899902344,96.2264175415039,100.0,1496.77693888927
182,GBR,EU,Northern Europe,UK,1.62015616893768,92.9245300292969,89.1509399414063,96.2264175415039,100.0,100.0,100.0,10.09284402,27.7695599,39.9333390850154,1.23863482475281,85.8490600585938,76.4150924682617,96.2264175415039,100.0,36452.4451055865
